Category,Subject,Level 1 (Initial),Level 2 (Repeatable),Level 3 (Defined),Level 4 (Managed / Capable),Level 5 (Optimized),
Processes,,,,,,,
,Continuous Improvement,The Red Team operates as individuals and might take notes to facilitate improvement,The Red Team is goal driven and reflects on their progress by holding retrospectives only after major operations; the Red Team has a general understanding of team gaps and informal plans to address them ,The Red Team holds regular retrospectives on an identified cadence which are inclusive of activities beyond operations; the Red Team has a defined roadmap to address improvement and operational targets,"Metrics are in place to track improvement and progress toward  roadmap objectives; improvement items are sometimes achieved, and work items are created based on findings and objectives",The Red Team regularly discusses opportunities and uniformly decides to stay the course or pivot; retrospectives consistently deliver process/operational improvements; the Red Team roadmap is considered during organizational planning,
,Knowledgebase,The Red Team holds working sessions to share knowledge as needs arise,The Red Team has temporary or unorganized notes in various locations or mediums,"The Red Team has a common, secured knowledgebase that is irregularly updated","The Red Team has a common, secured knowledge base that has undergone review and addresses most frequent needs","The Red Team has a common, secured knowledge base that undergoes regular review for utility and is routinely updated as part of any actions the Red Team takes",
,Work Management,The Red Team operates on different objectives at will,The Red Team understands operational and improvement objectives but there is no mechanism for accountability and tracking if it is not done in the near term,The Red Team has a roadmap of current and future work in a distributed tool; leadership is responsible for accountability,The Red Team manages work with a platform specifically designed for work management; the team has understood measures for work items; and the Red Team is accountable within itself on achieving objectives without leadership oversight,Red Team members have a strong understanding of other activity occurring within the Red Team to lend support or surge in key areas; the work management platform is successfully utilized to allow self-direction from a commonly understood backlog,
,Operational Planning and Selection,Operation objectives are selected by individual interest or urgent need; planning may not include input from the whole team; operations are planned within a few weeks of commencement,"Operations target major services, infrastructure, or offerings of the organization",Operations leverage Cyber Threat Intelligence to derive objectives and are planned out at least one quarter; the Red Team has a defined intake process for suggestions and operational needs,"Operations draw from Cyber Threat Intelligence, responders, hunters, and engineering/architecture teams' concerns; operations are planned for 2+ quarters","Operations are based on objective criteria that consider business needs, threat intelligence,  criticality, and/or other organizationally defined measures; unscheduled operations can be added ad hoc to address urgent issues without impacting other deliverables",
,Operational Approvals,"Red Team operations are approved only by the first-line Red Team leader without executive leadership knowledge; OR higher level leadership (VP, CISO, etc. - organization dependent) is involved in approval for most Red Team operational aspects","Operations are socialized with the leadership directly above the Red Team; OR Red Team approvals require individual, executive approval for operations","The Red Team can conduct some operations, like Purple Teams, with standing executive leadership approval",Red Team approvals are limited to the minimum number of parties required for coverage,"The Red Team has standard rules of engagement that are fully understood by executive leadership and legal, enabling continuous operations without individual approval requirements",
,Operational Documentation,The Red Team has a rough set of personal notes related to operational activities,"The only detailed logs for documentation are from automated tools, like automated logging from a C2 platform",Red Team actions are documented/logged in detail manually or with exports from tools,Red Team actions are documented/logged in a central location with some automation,Red Team actions are documented/logged in a central location and automated reporting of IOCs and behavior is available,
,Operation Reporting,The Red Team does not share operation details beyond the responsible risk owner; findings are possibly informally shared with defensive teams,The Red Team distributes findings to a static list of identified individuals,The Red Team has a reporting structure that includes a core list of stakeholders in a known template; products are semi-formal and not internally reviewed,The Red Team identifies additional stakeholders based on operational parameters; products are reviewed for quality,The Red Team has a regular reporting schedule for core and ad hoc stakeholders,
,Configuration Management,"The Red Team uses an inconsistent location for source code, infrastructure configurations, documentation, or tools","The Red Team leverages a shared location, without version control, to house source code, infrastructure configurations, documentation, or tools","The Red Team uses an industry-standard code repository for source code, infrastructure configuration files, and these items are versioned","The Red Team uses merge and pull requests, or similar, prior to changing known-good versions",The Red Team leverages automated CI/CD actions to expedite delivery and maintain quality of products,
,Resource Management,Licenses and accounts are only tracked upon reminder of expiration or renewal needs; ownership is dispersed across multiple people,"One person tracks accounts, payment methods, or licenses; knowledge not available to the entire Red Team","Accounts and licenses are centrally tracked, understood, and reviewed as needed by the Red Team; Red Team account passwords are secured","Accounts, licenses, and recurring expenses are reviewed quarterly for need or expiration",Tracking methods provide alerts or other easily identifiable information to indicate actions needed in the next thirty days,
